id,,,,,,,
2017001,09,11,14,20,25,26,15
2017002,15,19,23,24,25,32,03
2017003,01,04,08,15,27,32,16
2017004,05,13,17,26,27,30,07
2017005,06,11,12,22,23,30,05
2017006,02,04,08,26,29,33,08
2017007,02,04,05,24,26,33,15
2017008,07,13,15,27,28,29,13
2017009,02,06,08,09,15,29,14
2017010,05,08,19,25,28,30,07
2017011,10,11,12,23,26,29,16
2017012,10,11,14,15,16,24,07
2017013,08,11,28,29,31,33,06
2017014,06,08,18,20,23,31,13
2017015,01,08,09,14,17,32,01
2017016,05,08,16,22,27,29,02
2017017,03,07,08,10,22,23,12
2017018,01,02,03,17,25,31,09
2017019,04,06,08,12,23,25,08
2017020,04,08,10,12,31,33,10
2017021,02,05,10,22,32,33,09
2017022,02,06,15,16,18,32,15
2017023,01,03,04,11,18,22,14
2017024,09,21,25,26,29,31,13
2017025,02,15,16,17,22,32,07
2017026,03,10,12,19,27,30,08
2017027,02,04,11,14,27,30,05
2017028,07,08,12,13,22,30,09
2017029,02,15,21,23,25,30,10
2017030,01,07,09,20,23,30,02
2017031,06,10,16,26,27,29,03
2017032,05,08,15,24,27,31,11
2017033,05,07,15,20,23,30,15
2017034,04,07,08,19,32,33,13
2017035,01,06,14,24,28,32,12
2017036,01,02,05,10,24,27,15
2017037,11,15,20,22,25,30,05
2017038,01,04,08,13,24,27,05
2017039,02,04,12,14,17,24,15
2017040,15,19,23,28,29,33,04
2017041,04,10,13,15,22,27,04
2017042,01,02,04,07,10,23,04
2017043,08,13,16,23,27,31,08
2017044,08,16,19,21,31,32,06
2017045,05,07,16,20,21,25,05
2017046,04,13,14,23,26,32,10
2017047,02,05,08,10,32,33,02
2017048,05,08,09,14,15,19,07
2017049,01,08,14,15,20,29,10
2017050,10,12,20,24,27,29,07
2017051,02,05,09,15,24,25,11
2017052,07,08,18,24,29,31,07
2017053,04,09,11,15,29,31,06
2017054,02,03,09,23,28,33,08
2017055,07,12,13,20,24,31,05
2017056,13,14,18,19,21,28,06
2017057,18,20,22,23,30,31,16
2017058,01,09,13,22,28,32,11
2017059,04,08,09,15,19,25,09
2017060,05,10,13,24,26,31,04
2017061,06,07,12,20,26,27,11
2017062,01,07,22,24,26,31,10
2017063,12,16,20,22,25,31,04
2017064,02,10,16,22,24,28,15
2017065,02,05,08,10,12,21,07
2017066,01,04,06,17,19,26,03
2017067,01,03,04,10,18,29,04
2017068,02,06,10,22,30,31,15
2017069,02,11,12,23,29,31,05
2017070,01,06,14,22,25,26,12
2017071,02,03,06,14,31,32,03
2017072,06,11,14,23,26,30,02
2017073,03,06,16,23,26,30,14
2017074,02,06,16,23,30,31,02
2017075,01,03,06,19,21,29,07
2017076,01,04,08,09,14,15,13
2017077,01,02,04,15,17,22,14
2017078,05,07,18,19,22,24,16
2017079,03,07,14,23,25,27,08
2017080,01,12,16,20,22,24,08
2017081,03,05,14,25,26,30,05
2017082,14,18,21,25,28,29,10
2017083,03,08,14,20,24,26,12
2017084,01,05,11,20,22,24,02
2017085,01,05,06,16,25,30,09
2017086,03,05,06,13,20,22,07
2017087,03,06,13,14,19,28,06
2017088,07,09,18,22,23,29,06
2017089,11,12,13,16,23,25,12
2017090,01,07,10,16,22,33,09
2017091,05,07,10,23,28,29,03
2017092,10,18,19,29,32,33,09
2017093,07,08,09,15,22,27,12
2017094,08,11,13,19,28,31,06
2017095,09,10,12,19,22,29,16
2017096,02,06,11,12,19,29,06
2017097,05,10,18,19,30,31,03
2017098,04,19,22,27,30,33,01
2017099,02,05,06,16,28,29,04
2017100,04,07,08,18,23,24,02
2017101,01,04,11,28,31,32,16
2017102,04,08,10,14,18,20,11
2017103,01,21,23,25,31,33,01
2017104,01,14,15,20,23,30,14
2017105,03,06,07,12,25,26,07
2017106,12,15,20,25,27,31,02
2017107,08,09,15,17,30,32,06
2017108,07,12,14,15,17,20,01
2017109,08,14,16,18,21,23,16
2017110,01,03,12,15,19,23,14
2017111,05,10,17,19,29,32,12
2017112,03,10,14,16,22,23,11
2017113,04,06,16,27,29,33,05
2017114,06,12,13,15,18,26,13
2017115,04,10,11,25,30,31,01
2017116,02,14,20,22,30,32,02
2017117,01,02,08,11,14,21,09
2017118,08,09,15,22,30,33,16
2017119,09,16,21,25,26,31,14
2017120,08,10,15,19,23,28,16
2017121,11,18,19,22,24,32,07
2017122,11,20,21,22,24,27,15
2017123,04,05,06,11,21,31,10
2017124,02,06,11,26,28,29,03
2017125,01,14,23,25,29,30,03
2017126,01,16,17,21,27,30,16
2017127,14,15,21,24,27,32,12
2017128,02,06,13,22,29,31,08
2017129,05,06,09,14,21,33,02
2017130,05,13,14,23,25,31,02
2017131,01,07,10,11,26,27,11
2017132,02,03,05,09,13,28,11
2017133,06,15,17,18,23,30,11
2017134,04,05,11,14,28,32,04
2017135,01,06,07,14,18,26,16
2017136,03,07,10,18,21,24,12
2017137,05,10,20,23,26,31,03
2017138,01,17,24,28,32,33,02
2017139,02,14,20,24,28,32,16
2017140,21,22,25,28,29,30,08
2017141,01,06,07,11,13,15,05
2017142,08,13,14,18,23,33,06
2017143,04,06,09,14,20,29,14
2017144,03,14,16,20,31,32,09
2017145,02,06,12,17,25,28,12
2017146,01,19,25,26,27,33,10
2017147,03,07,20,21,25,31,14
2017148,04,07,11,14,29,32,12
2017149,05,08,15,20,27,30,13
2017150,06,14,19,20,21,23,08
2017151,02,05,07,09,11,27,16
2017152,06,10,23,25,26,29,05
2017153,07,11,12,13,18,19,16
2017154,05,09,13,15,18,26,05
